# Time(ps) CRYO_average_angle(degrees) CRYO_std
1.330000000000000000e+05 3.941375845437517000e+01 4.982897602813674887e+00
1.340000000000000000e+05 3.905921657111537826e+01 5.843245121135711706e+00
1.350000000000000000e+05 3.970561652432699873e+01 5.433134189687662818e+00
1.360000000000000000e+05 3.945617222874680863e+01 4.432372875442963434e+00
1.370000000000000000e+05 3.747278439559345742e+01 5.759731560551998975e+00
1.380000000000000000e+05 3.795910192329716182e+01 2.861661932153296561e+00
1.390000000000000000e+05 3.482466541717695208e+01 5.067563559577053844e+00
1.400000000000000000e+05 3.799668879114291542e+01 4.628942193367824309e+00
1.410000000000000000e+05 3.426520548707772207e+01 3.775410054228417245e+00
1.420000000000000000e+05 3.448173134073691415e+01 6.600610522612567088e+00
1.430000000000000000e+05 3.486048474188891078e+01 5.243947269006508094e+00
1.440000000000000000e+05 3.708661627784185555e+01 4.854910596620698904e+00
1.450000000000000000e+05 3.744321276316583180e+01 6.578528375639314696e+00
1.460000000000000000e+05 3.719167392961854546e+01 4.527462980299595152e+00
1.470000000000000000e+05 3.425352287598799705e+01 5.401510859565767042e+00
1.480000000000000000e+05 3.724859259280052726e+01 5.787092950338221797e+00
1.490000000000000000e+05 3.666601620651687199e+01 3.017947356606128562e+00
1.500000000000000000e+05 3.836068455544609179e+01 5.008986144444294908e+00
1.510000000000000000e+05 3.689036268848137468e+01 3.590856649395392175e+00
1.520000000000000000e+05 3.669089646804831517e+01 6.499590833379505384e+00
1.530000000000000000e+05 3.864943880817106958e+01 5.807464276934227954e+00
1.540000000000000000e+05 3.683545071720682529e+01 4.006027166473187684e+00
1.550000000000000000e+05 3.413358219416193151e+01 5.468735758323843399e+00
1.560000000000000000e+05 3.760586180176493087e+01 6.637147587015666872e+00
1.570000000000000000e+05 3.838513769616425719e+01 5.635836883922204166e+00
1.580000000000000000e+05 3.886956281532523150e+01 5.217940618401712527e+00
1.590000000000000000e+05 4.137342441237579038e+01 1.300971819255693340e+01
1.600000000000000000e+05 4.211662774179993818e+01 8.911275277360786617e+00
1.610000000000000000e+05 4.623031708880490953e+01 9.070133922668267346e+00
1.620000000000000000e+05 4.279477793302475419e+01 6.249996000887040104e+00
1.630000000000000000e+05 4.305440603839796410e+01 7.193496178799789753e+00
1.640000000000000000e+05 4.280432340993261420e+01 8.647158050476077662e+00
1.650000000000000000e+05 3.995724042821780131e+01 5.650333531181134461e+00
1.660000000000000000e+05 3.887048489595078848e+01 3.449707509403607819e+00
1.670000000000000000e+05 3.980080255789602006e+01 3.726895720418849756e+00
1.680000000000000000e+05 4.139475706938899435e+01 9.094829955783177766e+00
1.690000000000000000e+05 4.219335633290474163e+01 7.042530230099905530e+00
1.700000000000000000e+05 4.356512142656833930e+01 1.116237089343826838e+01
1.710000000000000000e+05 4.568098119844218274e+01 1.194228210070467355e+01
1.720000000000000000e+05 4.632756849088406881e+01 1.461095429919677358e+01
1.730000000000000000e+05 4.495238860869254438e+01 1.065804883887722099e+01
1.740000000000000000e+05 4.340297004058388097e+01 7.867630889954879692e+00
1.750000000000000000e+05 4.347886106904888948e+01 7.241346624511632690e+00
1.760000000000000000e+05 4.407474339617640169e+01 1.135243156850071600e+01
1.770000000000000000e+05 4.067598573968489006e+01 6.684186953970025158e+00
1.780000000000000000e+05 4.220282819482478232e+01 9.752810325370532496e+00
1.790000000000000000e+05 4.015560942952532741e+01 4.939492167450784343e+00
1.800000000000000000e+05 4.279393024231660547e+01 6.167091348756749802e+00
1.810000000000000000e+05 4.528160297899188436e+01 1.159120207875282560e+01
1.820000000000000000e+05 4.252351907103079043e+01 9.968240659508269985e+00
1.830000000000000000e+05 4.451933300512423841e+01 1.277992085510800280e+01
1.840000000000000000e+05 4.502064725360853714e+01 6.028943063692498328e+00
1.850000000000000000e+05 4.487015493974777058e+01 7.297466710080469099e+00
1.860000000000000000e+05 4.657426732474827702e+01 8.060984247052280338e+00
1.870000000000000000e+05 4.423733276010820248e+01 8.522661907140582471e+00
1.880000000000000000e+05 4.304688752967113885e+01 6.463598302387153716e+00
1.890000000000000000e+05 4.242391243127389089e+01 1.142187007570070989e+01
1.900000000000000000e+05 3.979450178878728650e+01 6.263226430943289458e+00
1.910000000000000000e+05 4.171633470920964726e+01 5.026458684891623285e+00
1.920000000000000000e+05 4.262199775294811133e+01 6.439373827145996820e+00
1.930000000000000000e+05 4.016385239579718558e+01 9.857367387563170880e+00
1.940000000000000000e+05 3.934096857840647488e+01 8.142352011743131612e+00
1.950000000000000000e+05 3.999301812821030211e+01 6.343945388667859397e+00
1.960000000000000000e+05 3.946099413876430617e+01 4.900688477399324228e+00
1.970000000000000000e+05 3.822070544784678248e+01 6.935368475731411131e+00
1.980000000000000000e+05 3.777360091171216538e+01 3.412253083236925555e+00
1.990000000000000000e+05 3.850384228890125371e+01 5.684741316715002490e+00
2.000000000000000000e+05 3.560565026906036934e+01 2.883337449890027937e+00
2.010000000000000000e+05 3.679844867235023997e+01 4.303645419774547065e+00
2.020000000000000000e+05 3.830755995628322808e+01 2.517811429851340321e+00
2.030000000000000000e+05 3.849435944228715556e+01 4.553348898243746667e+00
2.040000000000000000e+05 3.881908158098347883e+01 3.576536397484478158e+00
2.050000000000000000e+05 3.974174514460867158e+01 5.137216259853644829e+00
2.060000000000000000e+05 4.043697084956823318e+01 3.213127557791760847e+00
2.070000000000000000e+05 3.915185412858448899e+01 4.239387609039752647e+00
2.080000000000000000e+05 4.189051176866673387e+01 3.237657840858934488e+00
2.090000000000000000e+05 3.802892161365052459e+01 1.583092352897122801e+00
2.100000000000000000e+05 4.232109546656390364e+01 7.421552344714174687e+00
2.110000000000000000e+05 4.080066308375491246e+01 4.593880425533654055e+00
2.120000000000000000e+05 4.352535771025779354e+01 4.854095432936140320e+00
2.130000000000000000e+05 4.042752679201366561e+01 5.825590249937963705e+00
2.140000000000000000e+05 4.040432281672526926e+01 6.550144731826061495e+00
2.150000000000000000e+05 4.118561097804337123e+01 4.449915273830342244e+00
2.160000000000000000e+05 3.924418794821519896e+01 5.415139620300071677e+00
2.170000000000000000e+05 3.881891261503297130e+01 3.823773166357635755e+00
2.180000000000000000e+05 3.781282347920595299e+01 3.546835707005084437e+00
2.190000000000000000e+05 3.762088601392169096e+01 5.206719775525801452e+00
2.200000000000000000e+05 4.115247447176044204e+01 6.131344370352793227e+00
2.210000000000000000e+05 3.828988381863749169e+01 4.398101021229260610e+00
2.220000000000000000e+05 4.364568725294047624e+01 4.578896816950946302e+00
2.230000000000000000e+05 4.062873794281879469e+01 4.568754140712782963e+00
2.240000000000000000e+05 4.186993464992411873e+01 5.458728634085387554e+00
2.250000000000000000e+05 4.669603212451069396e+01 4.715043006551415949e+00
2.260000000000000000e+05 4.249546860299486184e+01 5.652527283208443443e+00
2.270000000000000000e+05 4.395537456380274222e+01 4.752590214001902957e+00
2.280000000000000000e+05 4.934306330157032505e+01 7.774201675356350982e+00
2.290000000000000000e+05 4.473664734859630698e+01 6.994809508327930025e+00
2.300000000000000000e+05 4.578186663374934540e+01 5.183267215100080705e+00
2.310000000000000000e+05 4.515765775032568996e+01 5.131532360032989182e+00
2.320000000000000000e+05 4.378250630052939130e+01 4.526311874044903760e+00
2.330000000000000000e+05 4.062835331971034947e+01 5.784431108101803609e+00
2.340000000000000000e+05 4.179865353285474328e+01 6.707885525189212217e+00
